RptNo,RptName,StatCourseNo,StatCourseName,DataDate,PlaceNo,PlaceName,PeriodNo,PeriodName,Complex1,ComplexName,Complex2,Complex2Name,Complex3,Complex3Name,Complex4,Complex4Name,Complex5,Complex5Name,DeriveNo,DeriveExplain,FValue,SValue,RptDeptNo,RptDeptName,CreateTime,ModifyTime
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a138,娛樂稅查徵統計-本年度-查定數-件數(單位:件),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000701,自動報繳稅款,0,,0,,0,,0,,0,,38,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a138,娛樂稅查徵統計-本年度-查定數-件數(單位:件),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000702,查定課徵稅款,0,,0,,0,,0,,0,,1473,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a138,娛樂稅查徵統計-本年度-查定數-件數(單位:件),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000703,違章補徵稅款(娛樂),0,,0,,0,,0,,0,,1,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a138,娛樂稅查徵統計-本年度-查定數-件數(單位:件),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000704,臨時公演,0,,0,,0,,0,,0,,50,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a140,娛樂稅查徵統計-本年度-查定數-金額(單位:元),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000701,自動報繳稅款,0,,0,,0,,0,,0,,4056831,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a140,娛樂稅查徵統計-本年度-查定數-金額(單位:元),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000702,查定課徵稅款,0,,0,,0,,0,,0,,5873516,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a140,娛樂稅查徵統計-本年度-查定數-金額(單位:元),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000703,違章補徵稅款(娛樂),0,,0,,0,,0,,0,,0,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a140,娛樂稅查徵統計-本年度-查定數-金額(單位:元),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000704,臨時公演,0,,0,,0,,0,,0,,306386,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a142,娛樂稅查徵統計-本年度-實徵數-件數(單位:件),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000701,自動報繳稅款,0,,0,,0,,0,,0,,38,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a142,娛樂稅查徵統計-本年度-實徵數-件數(單位:件),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000702,查定課徵稅款,0,,0,,0,,0,,0,,1451,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a142,娛樂稅查徵統計-本年度-實徵數-件數(單位:件),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000703,違章補徵稅款(娛樂),0,,0,,0,,0,,0,,1,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a142,娛樂稅查徵統計-本年度-實徵數-件數(單位:件),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000704,臨時公演,0,,0,,0,,0,,0,,48,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a144,娛樂稅查徵統計-本年度-實徵數-金額(單位:元),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000701,自動報繳稅款,0,,0,,0,,0,,0,,4056831,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a144,娛樂稅查徵統計-本年度-實徵數-金額(單位:元),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000702,查定課徵稅款,0,,0,,0,,0,,0,,5826056,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a144,娛樂稅查徵統計-本年度-實徵數-金額(單位:元),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000703,違章補徵稅款(娛樂),0,,0,,0,,0,,0,,2087,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a144,娛樂稅查徵統計-本年度-實徵數-金額(單位:元),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000704,臨時公演,0,,0,,0,,0,,0,,180150,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a146,娛樂稅查徵統計-本年度-未徵數-件數(單位:件),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000701,自動報繳稅款,0,,0,,0,,0,,0,,0,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a146,娛樂稅查徵統計-本年度-未徵數-件數(單位:件),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000702,查定課徵稅款,0,,0,,0,,0,,0,,550,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a146,娛樂稅查徵統計-本年度-未徵數-件數(單位:件),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000703,違章補徵稅款(娛樂),0,,0,,0,,0,,0,,1,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a146,娛樂稅查徵統計-本年度-未徵數-件數(單位:件),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000704,臨時公演,0,,0,,0,,0,,0,,8,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a147,娛樂稅查徵統計-本年度-未徵數-金額(單位:元),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000701,自動報繳稅款,0,,0,,0,,0,,0,,0,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a147,娛樂稅查徵統計-本年度-未徵數-金額(單位:元),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000702,查定課徵稅款,0,,0,,0,,0,,0,,1397579,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a147,娛樂稅查徵統計-本年度-未徵數-金額(單位:元),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000703,違章補徵稅款(娛樂),0,,0,,0,,0,,0,,6591,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
2613-01-17-2,臺中市娛樂稅查徵統計-本年度,2090301a147,娛樂稅查徵統計-本年度-未徵數-金額(單位:元),2015/12/1 上午 12:00:00,010000066000,臺中市,M,月,100030000704,臨時公演,0,,0,,0,,0,,0,,349406,,387260000D,地方稅務局,2016/1/21 上午 11:47:03,
